ID,County Name,FIPS,Primary Point,Service Area,Households,Recip22,Recip19,Allotments,Primary County Lat,Primary County Long,Primary County Coordinates,FArate22,FArate19,Pop22,Pop19,RateInc
1,Adair,19001,POINT (-94.4709413 41.3307464),Des Moines,268,522,551,78403,41.3307464,-94.4709413,POINT (-94.4709413 41.3307464),0.069655725,0.077041387,7494,7152,-0.007385662
2,Adams,19003,POINT (-94.6991849 41.0289839),Des Moines,140,292,303,46265,41.0289839,-94.6991849,POINT (-94.6991849 41.0289839),0.080864027,0.084119933,3611,3602,-0.003255906
3,Allamakee,19005,POINT (-91.3780923 43.2842838),Northern,397,881,1046,132294,43.2842838,-91.3780923,POINT (-91.3780923 43.2842838),0.063108883,0.076422883,13960,13687,-0.013314
4,Appanoose,19007,POINT (-92.8686104 40.7431635),Cedar Rapids,727,1386,1699,218536,40.7431635,-92.8686104,POINT (-92.8686104 40.7431635),0.114602282,0.136729438,12094,12426,-0.022127156
5,Audubon,19009,POINT (-94.9058222 41.6845893),Western,195,409,449,64558,41.6845893,-94.9058222,POINT (-94.9058222 41.6845893),0.073061808,0.081695779,5598,5496,-0.008633971
6,Benton,19011,POINT (-92.0656912 42.0801864),Cedar Rapids,805,1590,1639,263309,42.0801864,-92.0656912,POINT (-92.0656912 42.0801864),0.061841235,0.063911094,25711,25645,-0.002069859
7,Black Hawk,19013,POINT (-92.3088197 42.4700957),Northern,7301,14104,16620,2413546,42.4700957,-92.3088197,POINT (-92.3088197 42.4700957),0.10826412,0.1266498,130274,131228,-0.01838568
8,Boone,19015,POINT (-93.931671 42.0365493),Des Moines,695,1365,1763,226108,42.0365493,-93.931671,POINT (-93.931671 42.0365493),0.051298433,0.067202867,26609,26234,-0.015904434
9,Bremer,19017,POINT (-92.3180548 42.7745873),Northern,479,956,1144,143261,42.7745873,-92.3180548,POINT (-92.3180548 42.7745873),0.037847896,0.045646796,25259,25062,-0.0077989
10,Buchanan,19019,POINT (-91.8378392 42.4707777),Northern,591,1129,1378,178668,42.4707777,-91.8378392,POINT (-91.8378392 42.4707777),0.0545042,0.065076741,20714,21175,-0.010572541
11,Buena Vista,19021,POINT (-95.151149 42.7354936),Western,790,1763,1692,295215,42.7354936,-95.151149,POINT (-95.151149 42.7354936),0.085582524,0.086238532,20600,19620,-0.000656008
12,Butler,19023,POINT (-92.7901934 42.7315661),Northern,396,853,981,125860,42.7315661,-92.7901934,POINT (-92.7901934 42.7315661),0.059779943,0.067940993,14269,14439,-0.00816105
13,Calhoun,19025,POINT (-94.6404136 42.3851848),Northern,320,659,698,97416,42.3851848,-94.6404136,POINT (-94.6404136 42.3851848),0.067763496,0.072196938,9725,9668,-0.004433442
14,Carroll,19027,POINT (-94.8605593 42.0362382),Western,639,1232,1527,197858,42.0362382,-94.8605593,POINT (-94.8605593 42.0362382),0.059901784,0.075725267,20567,20165,-0.015823483
15,Cass,19029,POINT (-94.9278266 41.3314876),Western,643,1313,1496,204600,41.3314876,-94.9278266,POINT (-94.9278266 41.3314876),0.100198413,0.116547211,13104,12836,-0.016348798
16,Cedar,19031,POINT (-91.1324125 41.7723207),Eastern,382,815,992,122123,41.7723207,-91.1324125,POINT (-91.1324125 41.7723207),0.044295886,0.053256026,18399,18627,-0.00896014
17,Cerro Gordo,19033,POINT (-93.2608184 43.0815577),Northern,2127,3879,4252,655922,43.0815577,-93.2608184,POINT (-93.2608184 43.0815577),0.091466434,0.1001649,42409,42450,-0.008698466
18,Cherokee,19035,POINT (-95.6238055 42.7356226),Western,340,688,839,106182,42.7356226,-95.6238055,POINT (-95.6238055 42.7356226),0.059872944,0.074677348,11491,11235,-0.014804404
19,Chickasaw,19037,POINT (-92.3176637 43.0600414),Northern,243,486,688,70033,43.0600414,-92.3176637,POINT (-92.3176637 43.0600414),0.041481734,0.057655242,11716,11933,-0.016173508
20,Clarke,19039,POINT (-93.7851579 41.0290323),Des Moines,375,807,989,126464,41.0290323,-93.7851579,POINT (-93.7851579 41.0290323),0.083264548,0.10526876,9692,9395,-0.022004212
21,Clay,19041,POINT (-95.1509194 43.0825804),Western,652,1230,1421,192467,43.0825804,-95.1509194,POINT (-95.1509194 43.0825804),0.074658574,0.088723776,16475,16016,-0.014065202
22,Clayton,19043,POINT (-91.3414328 42.8447493),Northern,472,876,968,134537,42.8447493,-91.3414328,POINT (-91.3414328 42.8447493),0.051447701,0.055159838,17027,17549,-0.003712137
23,Clinton,19045,POINT (-90.5319724 41.8980358),Eastern,2914,5742,6598,977641,41.8980358,-90.5319724,POINT (-90.5319724 41.8980358),0.123899534,0.142109457,46344,46429,-0.018209923
24,Crawford,19047,POINT (-95.3819678 42.0372125),Western,544,1153,1526,181112,42.0372125,-95.3819678,POINT (-95.3819678 42.0372125),0.071512746,0.090725327,16123,16820,-0.019212581
25,Dallas,19049,POINT (-94.0397374 41.6848862),Des Moines,1449,3230,2979,549677,41.6848862,-94.0397374,POINT (-94.0397374 41.6848862),0.029902977,0.031876986,108016,93453,-0.001974009
26,Davis,19051,POINT (-92.4097173 40.7476891),Cedar Rapids,227,453,574,76383,40.7476891,-92.4097173,POINT (-92.4097173 40.7476891),0.049616648,0.063777778,9130,9000,-0.01416113
27,Decatur,19053,POINT (-93.7862815 40.7376827),Des Moines,401,763,841,118546,40.7376827,-93.7862815,POINT (-93.7862815 40.7376827),0.099310165,0.106861499,7683,7870,-0.007551334
28,Delaware,19055,POINT (-91.3673502 42.471211),Northern,434,834,1002,129279,42.471211,-91.3673502,POINT (-91.3673502 42.471211),0.047472678,0.058903063,17568,17011,-0.011430385
29,Des Moines,19057,POINT (-91.1814707 40.9231829),Eastern,2679,5311,6417,883126,40.9231829,-91.1814707,POINT (-91.1814707 40.9231829),0.138693756,0.164677804,38293,38967,-0.025984048
30,Dickinson,19059,POINT (-95.1508301 43.3779848),Western,493,912,981,145708,43.3779848,-95.1508301,POINT (-95.1508301 43.3779848),0.050587974,0.056843203,18028,17258,-0.006255229
31,Dubuque,19061,POINT (-90.8824564 42.468832),Eastern,3722,7450,9011,1288371,42.468832,-90.8824564,POINT (-90.8824564 42.468832),0.07549885,0.092600014,98677,97311,-0.017101164
32,Emmet,19063,POINT (-94.6784803 43.3780225),Western,325,667,859,104856,43.3780225,-94.6784803,POINT (-94.6784803 43.3780225),0.072689625,0.093288445,9176,9208,-0.02059882
33,Fayette,19065,POINT (-91.8443207 42.8625919),Northern,938,1811,2336,290340,42.8625919,-91.8443207,POINT (-91.8443207 42.8625919),0.093863377,0.118880407,19294,19650,-0.02501703
34,Floyd,19067,POINT (-92.7890033 43.0599208),Northern,697,1434,1685,236472,43.0599208,-92.7890033,POINT (-92.7890033 43.0599208),0.093499381,0.107722798,15337,15642,-0.014223417
35,Franklin,19069,POINT (-93.262473 42.7325458),Northern,306,693,781,112103,42.7325458,-93.262473,POINT (-93.262473 42.7325458),0.069887051,0.0775571,9916,10070,-0.007670049
36,Fremont,19071,POINT (-95.6046765 40.7455892),Western,284,602,787,93282,40.7455892,-95.6046765,POINT (-95.6046765 40.7455892),0.093131188,0.113074713,6464,6960,-0.019943525
37,Greene,19073,POINT (-94.3968356 42.0362394),Western,409,882,899,137200,42.0362394,-94.3968356,POINT (-94.3968356 42.0362394),0.100903787,0.101147615,8741,8888,-0.000243828
38,Grundy,19075,POINT (-92.7914177 42.4018651),Northern,257,594,589,91101,42.4018651,-92.7914177,POINT (-92.7914177 42.4018651),0.04807381,0.048152387,12356,12232,-7.86E-05
39,Guthrie,19077,POINT (-94.501055 41.6837548),Western,332,726,807,108534,41.6837548,-94.501055,POINT (-94.501055 41.6837548),0.068188222,0.075498176,10647,10689,-0.007309954
40,Hamilton,19079,POINT (-93.7068085 42.3837722),Northern,450,883,917,145474,42.3837722,-93.7068085,POINT (-93.7068085 42.3837722),0.059581646,0.0620727,14820,14773,-0.002491054
41,Hancock,19081,POINT (-93.7342723 43.0818861),Northern,282,606,598,92726,43.0818861,-93.7342723,POINT (-93.7342723 43.0818861),0.056715021,0.05625588,10685,10630,0.000459141
42,Hardin,19083,POINT (-93.2404025 42.3838803),Northern,602,1295,1482,192758,42.3838803,-93.2404025,POINT (-93.2404025 42.3838803),0.078167441,0.087973406,16567,16846,-0.009805965
43,Harrison,19085,POINT (-95.8169209 41.6828528),Western,545,1062,1197,174640,41.6828528,-95.8169209,POINT (-95.8169209 41.6828528),0.072451903,0.085201794,14658,14049,-0.012749891
44,Henry,19087,POINT (-91.5445241 40.9879383),Eastern,875,1868,2176,287671,40.9879383,-91.5445241,POINT (-91.5445241 40.9879383),0.092493563,0.109050817,20196,19954,-0.016557254
45,Howard,19089,POINT (-92.3171989 43.3567673),Northern,272,518,545,76965,43.3567673,-92.3171989,POINT (-92.3171989 43.3567673),0.054337564,0.05951081,9533,9158,-0.005173246
46,Humboldt,19091,POINT (-94.2071868 42.7764686),Northern,294,578,712,85006,42.7764686,-94.2071868,POINT (-94.2071868 42.7764686),0.060384455,0.074492572,9572,9558,-0.014108117
47,Ida,19093,POINT (-95.5134962 42.3868747),Western,221,472,558,70299,42.3868747,-95.5134962,POINT (-95.5134962 42.3868747),0.068524971,0.081341108,6888,6860,-0.012816137
48,Iowa,19095,POINT (-92.065524 41.6863229),Cedar Rapids,343,695,838,116755,41.6863229,-92.065524,POINT (-92.065524 41.6863229),0.042185129,0.051779535,16475,16184,-0.009594406
49,Jackson,19097,POINT (-90.5742294 42.1717426),Eastern,764,1497,1751,240690,42.1717426,-90.5742294,POINT (-90.5742294 42.1717426),0.077468433,0.09007665,19324,19439,-0.012608217
50,Jasper,19099,POINT (-93.053765 41.6860394),Cedar Rapids,1560,3021,3657,489450,41.6860394,-93.053765,POINT (-93.053765 41.6860394),0.079629923,0.098346107,37938,37185,-0.018716184
51,Jefferson,19101,POINT (-91.9488774 41.0317596),Cedar Rapids,871,1481,1772,248080,41.0317596,-91.9488774,POINT (-91.9488774 41.0317596),0.094343228,0.096857065,15698,18295,-0.002513837
52,Johnson,19103,POINT (-91.5880849 41.6715511),Cedar Rapids,4486,9560,9837,1646606,41.6715511,-91.5880849,POINT (-91.5880849 41.6715511),0.061117504,0.065085351,156420,151140,-0.003967847
53,Jones,19105,POINT (-91.1314352 42.1212397),Cedar Rapids,614,1196,1494,191240,42.1212397,-91.1314352,POINT (-91.1314352 42.1212397),0.057367613,0.07224022,20848,20681,-0.014872607
54,Keokuk,19107,POINT (-92.1786426 41.336465),Cedar Rapids,411,829,1091,141758,41.336465,-92.1786426,POINT (-92.1786426 41.336465),0.083703554,0.106480578,9904,10246,-0.022777024
55,Kossuth,19109,POINT (-94.2067199 43.20413),Western,469,893,940,144080,43.20413,-94.2067199,POINT (-94.2067199 43.20413),0.061692573,0.063457774,14475,14813,-0.001765201
56,Lee,19111,POINT (-91.479264 40.6419764),Eastern,2214,4374,5097,735505,40.6419764,-91.479264,POINT (-91.479264 40.6419764),0.13319123,0.151439522,32840,33657,-0.018248292
57,Linn,19113,POINT (-91.5989646 42.0789478),Cedar Rapids,10496,21253,23794,3652052,42.0789478,-91.5989646,POINT (-91.5989646 42.0789478),0.092794488,0.104955317,229033,226706,-0.012160829
58,Louisa,19115,POINT (-91.2596184 41.2185073),Eastern,349,752,859,122142,41.2185073,-91.2596184,POINT (-91.2596184 41.2185073),0.070431769,0.077843226,10677,11035,-0.007411457
59,Lucas,19117,POINT (-93.3277207 41.0293738),Des Moines,406,896,929,145919,41.0293738,-93.3277207,POINT (-93.3277207 41.0293738),0.103118886,0.108023256,8689,8600,-0.00490437
60,Lyon,19119,POINT (-96.2102924 43.380497),Western,175,421,434,65836,43.380497,-96.2102924,POINT (-96.2102924 43.380497),0.034567698,0.036920459,12179,11755,-0.002352761
61,Madison,19121,POINT (-94.0155619 41.3307142),Des Moines,342,654,875,101095,41.3307142,-94.0155619,POINT (-94.0155619 41.3307142),0.038389293,0.053556127,17036,16338,-0.015166834
62,Mahaska,19123,POINT (-92.6409094 41.3352035),Cedar Rapids,1009,1953,2201,314994,41.3352035,-92.6409094,POINT (-92.6409094 41.3352035),0.08899116,0.099615298,21946,22095,-0.010624138
63,Marion,19125,POINT (-93.0994367 41.3344515),Des Moines,895,1746,2225,290248,41.3344515,-93.0994367,POINT (-93.0994367 41.3344515),0.051899411,0.066911256,33642,33253,-0.015011845
64,Marshall,19127,POINT (-92.9987706 42.0358499),Northern,1745,3912,4464,613534,42.0358499,-92.9987706,POINT (-92.9987706 42.0358499),0.098096743,0.113388707,39879,39369,-0.015291964
65,Mills,19129,POINT (-95.6213267 41.0334523),Western,448,924,1154,153771,41.0334523,-95.6213267,POINT (-95.6213267 41.0334523),0.063492063,0.076378318,14553,15109,-0.012886255
66,Mitchell,19131,POINT (-92.7890315 43.3564124),Northern,243,473,579,72563,43.3564124,-92.7890315,POINT (-92.7890315 43.3564124),0.044910748,0.05469488,10532,10586,-0.009784132
67,Monona,19133,POINT (-95.9599235 42.0516663),Western,381,781,972,120997,42.0516663,-95.9599235,POINT (-95.9599235 42.0516663),0.092033938,0.112826465,8486,8615,-0.020792527
68,Monroe,19135,POINT (-92.8689877 41.0297826),Cedar Rapids,247,528,693,83060,41.0297826,-92.8689877,POINT (-92.8689877 41.0297826),0.069933775,0.089918256,7550,7707,-0.019984481
69,Montgomery,19137,POINT (-95.1563758 41.03014),Western,590,1202,1461,200237,41.03014,-95.1563758,POINT (-95.1563758 41.03014),0.117785399,0.147322779,10205,9917,-0.02953738
